reverse_mode,connections,repeat,concurrency,completed,qps,latency_mean_us,latency_p50_us,latency_p99_us,proxy_cpu_pct,client_cpu_pct,server_cpu_pct,rpc_errors,reconnects
dpu-dma,1,1,64,128504,12850.4,4979.383986381747,5017.097,6671.411,99.89121958215665,125.39007861038061,124.59014190473225,0,0
dpu-dma,1,2,64,127956,12795.6,5003.189747757042,5033.398,6689.568,100.001384459278,124.70146080236003,123.20144323055939,0,0
dpu-dma,1,3,64,127913,12791.3,5003.365244658478,5029.146,6797.072,100.00097570961529,125.10031042298263,124.10030794158389,0,0
dpu-dma,2,1,64,143277,14327.7,4466.521012681728,4519.752,6248.376,100.00745507583154,147.81080568024126,147.7107983692262,0,0
dpu-dma,2,2,64,143823,14382.3,4449.497217725955,4514.618,6221.498,99.90185635577245,148.60435777899028,147.9043372510946,0,0
dpu-dma,2,3,64,143863,14386.3,4448.236138166172,4513.379,6287.243,99.99969424074872,148.50069434543695,147.90069154000085,0,0
dpu-dma,3,1,64,143934,14393.4,4445.389248120667,4488.963,6276.463,100.00604571535825,154.80948333531157,152.60934855922832,0,0
dpu-dma,3,2,64,143563,14356.3,4458.036355307427,4485.145,6266.167,99.99832632842279,154.59545441449873,152.2955220396388,0,0
dpu-dma,3,3,64,144211,14421.1,4437.175828598373,4472.439,6257.49,100.0948110944227,154.29637664263223,152.296423607731,0,0
dpu-dma,4,1,64,140385,14038.5,4558.2493836805925,4587.631,6394.244,99.99688429686974,155.89092460733252,152.4911225312265,0,0
dpu-dma,4,2,64,140421,14042.1,4557.402697922675,4589.267,6362.322,99.99923314672367,156.19880576648185,151.99883787775443,0,0
dpu-dma,4,3,64,140976,14097.6,4539.126289985529,4568.829,6304.44,99.89801249937067,155.89400553221049,153.0941131942362,0,0
host-dpa,1,1,64,152046,15204.6,4208.774511397866,4039.735,6416.192,99.90836278908974,147.10800860555656,148.50808482613968,0,0
host-dpa,1,2,64,152771,15277.1,4189.369454876907,4018.923,6469.088,99.90246926010245,147.50249029886965,148.4025054939136,0,0
host-dpa,1,3,64,151344,15134.4,4229.565938074849,4075.632,6465.621,100.10901210332017,146.51087638168562,146.71089122998828,0,0
host-dpa,2,1,64,136257,13625.7,4695.898875463279,2649.137,52928.099,99.99638477022937,157.6934420654231,155.59352939365783,0,0
host-dpa,2,2,64,137078,13707.8,4670.999640095421,2670.679,52578.131,99.99964610216655,158.19939072696448,155.29940189568637,0,0
host-dpa,2,3,64,137102,13710.2,4661.1683388790825,2612.871,54627.476,100.00426842190441,158.10029727499483,155.90029313834088,0,0
host-dpa,3,1,64,130561,13056.1,4907.7730963993845,2728.52,65112.122,99.89988012039402,159.2967133740852,155.79678558494962,0,0
host-dpa,3,2,64,129406,12940.6,4934.067881512449,2683.641,65821.908,100.00972058458953,158.21283974750486,155.01258003074116,0,0
host-dpa,3,3,64,129127,12912.7,4985.895015085924,2615.847,63746.197,100.00696414566717,159.0076235091842,155.4074509014291,0,0
host-dpa,4,1,64,126155,12615.5,5097.155538884705,2508.213,82615.102,100.00539968190652,161.20519166305073,155.4050048662412,0,0
host-dpa,4,2,64,121444,12144.4,5248.470168826784,2540.964,98127.651,100.10405812821988,158.80558473208606,153.9054124072295,0,0
host-dpa,4,3,64,123899,12389.9,5209.623515250325,2538.279,86405.253,100.00116173363413,160.29931677074455,154.6993406390155,0,0
