run_index,diagnostic,repeat,W,K,connections_total,concurrency_total,qps,completed,payload_validation_passed,metrics_validation_passed,validation_issues,metrics_issues,measurement_start,measurement_end,proxy_cpu_pct,controller_cpu_pct,controller_children_cpu_pct,per_core_busy_min_pct,per_core_busy_max_pct,per_core_busy_pct,named_shard_cpu_min_pct,named_shard_cpu_max_pct,named_shard_cpu_pct,named_shard_affinity,host_client_cpu_total_pct,host_server_cpu_total_pct,host_client_8core_occupancy_pct,host_server_8core_occupancy_pct,host_client_cpu_pct,host_server_cpu_pct,worker_qps,latency_p99_max_across_workers_us_NOT_global_p99,worker_latency_p99_us,worker_latency_mean_us
0,False,1,1,1,1,64,12794.2,127942,True,True,[],[],2026-09-26T01:26:25.063953+00:00,2026-09-26T01:26:35.063953+00:00,100.00537125837276,,,100.0,100.0,"{""15"":100.0}",99.9053658871144,99.9053658871144,"{""0"":99.9053658871144}","{""0"":[15]}",125.69332338467171,125.09335525395728,15.711665423083964,15.63666940674466,[125.69332338467171],[125.09335525395728],"{""0"":12794.2}",6751.355,[6751.355],[5001.456135233153]
1,False,2,1,1,1,64,12765.8,127658,True,True,[],[],2026-09-26T01:26:40.290922+00:00,2026-09-26T01:26:50.290922+00:00,100.00631626890502,,,100.0,100.0,"{""15"":100.0}",100.00631626890502,100.00631626890502,"{""0"":100.00631626890502}","{""0"":[15]}",125.20619743037979,125.10619248035552,15.650774678797474,15.63827406004444,[125.20619743037979],[125.10619248035552],"{""0"":12765.8}",6768.408,[6768.408],[5012.528821436964]
2,False,3,1,1,1,64,12651.3,126513,True,True,[],[],2026-09-26T01:26:55.513640+00:00,2026-09-26T01:27:05.513640+00:00,99.90258205248496,,,100.0,100.0,"{""15"":100.0}",100.00258463712208,100.00258463712208,"{""0"":100.00258463712208}","{""0"":[15]}",125.10038644808513,123.90038274114906,15.637548306010641,15.487547842643632,[125.10038644808513],[123.90038274114906],"{""0"":12651.3}",6804.449,[6804.449],[5057.1683895489]
3,False,1,1,2,2,128,16941.6,169416,True,True,[],[],2026-09-26T01:27:14.371168+00:00,2026-09-26T01:27:24.371168+00:00,100.0972457339775,,,100.0,100.0,"{""15"":100.0}",99.89725123700651,99.89725123700651,"{""0"":99.89725123700651}","{""0"":[15]}",141.48958243309445,148.48906707642774,17.686197804136807,18.561133384553468,[141.48958243309445],[148.48906707642774],"{""0"":16941.6}",10350.713,[10350.713],[7555.569923985929]
4,False,2,1,2,2,128,16845.7,168457,True,True,[],[],2026-09-26T01:27:29.804168+00:00,2026-09-26T01:27:39.804168+00:00,100.10403345179526,,,100.0,100.0,"{""15"":100.0}",100.00402942237288,100.00402942237288,"{""0"":100.00402942237288}","{""0"":[15]}",141.09970747130453,147.69969378817632,17.637463433913066,18.46246172352204,[141.09970747130453],[147.69969378817632],"{""0"":16845.7}",10285.823,[10285.823],[7597.993464041268]
5,False,3,1,2,2,128,16863.3,168633,True,True,[],[],2026-09-26T01:27:45.247153+00:00,2026-09-26T01:27:55.247153+00:00,99.90314745925214,,,100.0,100.0,"{""15"":100.0}",100.00315060986199,100.00315060986199,"{""0"":100.00315060986199}","{""0"":[15]}",140.09916912731452,148.09912168276432,17.512396140914316,18.51239021034554,[140.09916912731452],[148.09912168276432],"{""0"":16863.3}",10402.525,[10402.525],[7589.576106058719]
6,False,1,1,4,4,256,19315.7,193157,True,True,[],[],2026-09-26T01:29:39.978125+00:00,2026-09-26T01:29:49.978125+00:00,99.99825617079848,,,100.0,100.0,"{""15"":100.0}",99.99825617079848,99.99825617079848,"{""0"":99.99825617079848}","{""0"":[15]}",149.9952871331464,162.59489125233068,18.7494108916433,20.324361406541335,[149.9952871331464],[162.59489125233068],"{""0"":19315.7}",17341.491,[17341.491],[13254.505236677935]
7,False,2,1,4,4,256,19312.8,193128,True,True,[],[],2026-09-26T01:29:55.778249+00:00,2026-09-26T01:30:05.778249+00:00,99.9060205466313,,,100.0,100.0,"{""15"":100.0}",99.9060205466313,99.9060205466313,"{""0"":99.9060205466313}","{""0"":[15]}",150.7023988811567,163.3025994511804,18.83779986014459,20.41282493139755,[150.7023988811567],[163.3025994511804],"{""0"":19312.8}",17187.13,[17187.13],[13249.084504872417]
8,False,3,1,4,4,256,19372.7,193727,True,True,[],[],2026-09-26T01:30:11.598859+00:00,2026-09-26T01:30:21.598859+00:00,100.00515088542964,,,100.0,100.0,"{""15"":100.0}",99.9051457345442,99.9051457345442,"{""0"":99.9051457345442}","{""0"":[15]}",150.69539655741045,161.49506664911604,18.836924569676306,20.186883331139505,[150.69539655741045],[161.49506664911604],"{""0"":19372.7}",17106.978,[17106.978],[13216.68271785554]
9,True,profile,1,4,4,256,18951.3,189513,True,True,[],[],2026-09-26T01:30:27.435122+00:00,2026-09-26T01:30:37.435122+00:00,99.99921802577173,,,100.0,100.0,"{""15"":100.0}",99.99921802577173,99.99921802577173,"{""0"":99.99921802577173}","{""0"":[15]}",148.7999782306919,160.199976562882,18.599997278836486,20.02499707036025,[148.7999782306919],[160.199976562882],"{""0"":18951.3}",17609.543,[17609.543],[13506.050279067926]
