run_index,diagnostic,repeat,attempt,origin_root,W,K,connections_total,concurrency_total,qps,completed,payload_validation_passed,metrics_validation_passed,validation_issues,metrics_issues,measurement_start,measurement_end,proxy_cpu_pct,controller_cpu_pct,controller_children_cpu_pct,per_core_busy_min_pct,per_core_busy_max_pct,per_core_busy_pct,named_shard_cpu_min_pct,named_shard_cpu_max_pct,named_shard_cpu_pct,named_shard_affinity,host_client_cpu_total_pct,host_server_cpu_total_pct,host_client_8core_occupancy_pct,host_server_8core_occupancy_pct,host_client_cpu_pct,host_server_cpu_pct,worker_qps,latency_p99_max_across_workers_us_NOT_global_p99,worker_latency_p99_us,worker_latency_mean_us
0,False,1,initial,/tmp/dmesh-grpc-host-dpa-scale-20260926,1,1,1,64,15029.3,150293,True,True,[],[],2026-09-26T04:03:25.575480+00:00,2026-09-26T04:03:35.575480+00:00,99.99938165336428,0.09999938165336429,0.0,100.0,100.0,"{""15"":100.0}",99.99938165336428,99.99938165336428,"{""0"":99.99938165336428}","{""0"":[15]}",144.6957964270864,146.59574123158856,18.0869745533858,18.32446765394857,[144.6957964270864],[146.59574123158856],"{""0"":15029.3}",6430.033,[6430.033],[4259.610767168132]
1,False,2,initial,/tmp/dmesh-grpc-host-dpa-scale-20260926,1,1,1,64,14763.3,147633,True,True,[],[],2026-09-26T04:03:41.336295+00:00,2026-09-26T04:03:51.336295+00:00,100.10482356026587,0.0,0.0,100.0,100.0,"{""15"":100.0}",100.00481874152435,100.00481874152435,"{""0"":100.00481874152435}","{""0"":[15]}",142.2074379178581,144.20754252992364,17.775929739732263,18.025942816240455,[142.2074379178581],[144.20754252992364],"{""0"":14763.3}",6448.392,[6448.392],[4335.070155412408]
2,False,3,initial,/tmp/dmesh-grpc-host-dpa-scale-20260926,1,1,1,64,15164.1,151641,True,True,[],[],2026-09-26T04:03:57.111450+00:00,2026-09-26T04:04:07.111450+00:00,100.0002652809542,0.0,0.0,100.0,100.0,"{""15"":100.0}",100.0002652809542,100.0002652809542,"{""0"":100.0002652809542}","{""0"":[15]}",145.80111992746754,148.20113836248757,18.225139990933442,18.525142295310946,[145.80111992746754],[148.20113836248757],"{""0"":15164.1}",6307.555,[6307.555],[4219.411505338267]
3,False,1,initial,/tmp/dmesh-grpc-host-dpa-scale-20260926,1,2,2,128,18741.3,187413,True,True,[],[],2026-09-26T04:04:17.586975+00:00,2026-09-26T04:04:27.586975+00:00,99.99707569538089,0.09999707569538088,0.0,100.0,100.0,"{""15"":100.0}",100.09707277107626,100.09707277107626,"{""0"":100.09707277107626}","{""0"":[15]}",161.5005777835271,166.30059495604058,20.187572222940886,20.787574369505073,[161.5005777835271],[166.30059495604058],"{""0"":18741.3}",10723.073,[10723.073],[6829.966487138032]
4,False,2,initial,/tmp/dmesh-grpc-host-dpa-scale-20260926,1,2,2,128,18776.6,187766,True,True,[],[],2026-09-26T04:04:33.774168+00:00,2026-09-26T04:04:43.774168+00:00,100.00682756583916,0.0,0.0,99.9001996007984,99.9001996007984,"{""15"":99.9001996007984}",100.00682756583916,100.00682756583916,"{""0"":100.00682756583916}","{""0"":[15]}",163.11143907143676,166.61168454507276,20.388929883929595,20.826460568134095,[163.11143907143676],[166.61168454507276],"{""0"":18776.6}",10304.919,[10304.919],[6816.270210751681]
5,False,3,initial,/tmp/dmesh-grpc-host-dpa-scale-20260926,1,2,2,128,18653.4,186534,True,True,[],[],2026-09-26T04:04:49.921436+00:00,2026-09-26T04:04:59.921436+00:00,99.9044518123248,0.0,0.0,100.0,100.0,"{""15"":100.0}",100.00445626859339,100.00445626859339,"{""0"":100.00445626859339}","{""0"":[15]}",162.40031913323642,166.20032660063973,20.300039891654553,20.775040825079966,[162.40031913323642],[166.20032660063973],"{""0"":18653.4}",11004.384,[11004.384],[6863.694764294981]
6,False,1,initial,/tmp/dmesh-grpc-host-dpa-scale-20260926,1,4,4,256,20189.4,201894,True,True,[],[],2026-09-26T04:05:11.619586+00:00,2026-09-26T04:05:21.619586+00:00,100.00309392603063,0.0,0.0,100.0,100.0,"{""15"":100.0}",99.9030908321046,99.9030908321046,"{""0"":99.9030908321046}","{""0"":[15]}",168.30022289663154,170.2002254129928,21.037527862078942,21.2750281766241,[168.30022289663154],[170.2002254129928],"{""0"":20189.4}",17011.691,[17011.691],[12681.563523551964]
7,False,2,initial,/tmp/dmesh-grpc-host-dpa-scale-20260926,1,4,4,256,20284.4,202844,True,True,[],[],2026-09-26T04:05:28.599520+00:00,2026-09-26T04:05:38.599520+00:00,100.00329807800284,0.10000329807800284,0.0,100.0,100.0,"{""15"":100.0}",100.00329807800284,100.00329807800284,"{""0"":100.00329807800284}","{""0"":[15]}",168.00503858770608,170.60511656584916,21.00062982346326,21.325639570731145,[168.00503858770608],[170.60511656584916],"{""0"":20284.4}",16964.916,[16964.916],[12615.232336761255]
8,False,3,initial,/tmp/dmesh-grpc-host-dpa-scale-20260926,1,4,4,256,20251,202510,True,True,[],[],2026-09-26T04:05:45.545700+00:00,2026-09-26T04:05:55.545700+00:00,100.09551367908982,0.09999551816092889,0.0,100.0,100.0,"{""15"":100.0}",99.89552264276796,99.89552264276796,"{""0"":99.89552264276796}","{""0"":[15]}",168.1986254817232,169.79861240663854,21.0248281852154,21.224826550829818,[168.1986254817232],[169.79861240663854],"{""0"":20251}",16881.203,[16881.203],[12636.12291396968]
9,False,1,initial,/tmp/dmesh-grpc-host-dpa-scale-20260926,2,1,2,128,33103.1,331031,True,True,[],[],2026-09-26T04:06:10.755885+00:00,2026-09-26T04:06:20.755885+00:00,199.98611788469603,0.09999305894234801,0.0,100.0,100.0,"{""14"":100.0,""15"":100.0}",99.99305894234801,99.99305894234801,"{""0"":99.99305894234801,""1"":99.99305894234801}","{""0"":[15],""1"":[14]}",307.2096543711531,310.50975808021815,38.401206796394135,38.81371976002727,"[153.40482090017863,153.80483347097442]","[154.3048491844691,156.20490889574904]","{""0"":16492,""1"":16611.1}",6301.748,"[6272.617,6301.748]","[3880.387769451855,3852.352577475303]"
